mu,binarization_residual,is_binarized,energy,binary_cut_value,gradient_norm,theta_0,theta_1,theta_2,hess_eig_0,hess_eig_1,hess_eig_2
0.03101000500250125,0.8627462842268662,0,-1.4768645916711007,2.0,9.955406044230978e-08,-2.1061072379265733,2.1009165563566,-0.0025185085095810727,2.236316666551757e-05,1.4611154550177567,1.5395985997259607
0.03401100550275137,0.8625999788485665,0,-1.4746388404137052,2.0,1.6211014988114593e-07,-2.1076181765111794,2.1012058335683337,-0.003102536140594868,2.950282571619161e-05,1.4573392523923892,1.543518900531333
0.0370120060030015,0.8624516776920688,0,-1.472415459404145,2.0,2.4845972345333097e-07,-2.1091317204306814,2.1014989113158333,-0.003682759315904482,3.8019422729275544e-05,1.4535607023411765,1.547454639090554
0.040013006503251625,0.8623012563816911,0,-1.4701944594744578,2.0,3.637322862072742e-07,-2.1106476580413833,2.101796029542454,-0.00425901028132933,4.803400304098634e-05,1.4497797999360875,1.5514057875171858
0.04301400700350175,0.8621485791003058,0,-1.4679758515111894,2.0,5.135176329098052e-07,-2.112165755963176,2.1020974502103833,-0.004831102154563308,5.966748682657706e-05,1.4459965407759734,1.555372318105169
0.04601500750375188,0.8619934986520359,0,-1.4657596464549352,2.0,7.038536910618297e-07,-2.1136857593145533,2.102403457102983,-0.0053988293693345785,7.304066046316803e-05,1.4422109209570713,1.5593542033654275
0.049016008004002,0.8618358565446843,0,-1.463545855299987,2.0,9.412125380482602e-07,-2.1152073919929633,2.1027143555852144,-0.005961968150674202,8.827416915536811e-05,1.4384229370392587,1.5633514160662707
0.05201700850425212,0.8616754830930375,0,-1.4613344890940758,2.0,1.232484471435999e-06,-2.116730357002892,2.103030472319727,-0.006520277023044235,0.00010548851098445107,1.4346325860076998,1.567363929277859
0.05501800900450225,0.8615121975447478,0,-1.4591255589382515,2.0,1.5849600199907806e-06,-2.1182543368350566,2.103352154935075,-0.007073497354034424,0.00012480403254773158,1.4308398652297722,1.5713917164208357
0.058019009504752375,0.8613458082302355,0,-1.456919075986899,2.0,2.0063097931804612e-06,-2.1197789938996063,2.103679771643066,-0.007621353935801419,0.00014634092635062036,1.4270447724070152,1.5754347513193019
0.0610200100050025,0.8611761127375767,0,-1.4547150514479,2.0,2.5045620764554727e-06,-2.1213039710151924,2.104013710803175,-0.008163555605497468,0.00017021923012589056,1.4232473055220076,1.5794930082581857
0.06402101050525262,0.8610028981139664,0,-1.4525134965829753,2.0,3.0880780924179263e-06,-2.1228288919570004,2.1043543804307636,-0.008699795907033491,0.0001965588282534377,1.4194474627800557,1.5835664620450727
0.06702201100550274,0.8608259410946512,0,-1.4503144227082003,2.0,3.765524860032814e-06,-2.1243533620653254,2.1047022076472164,-0.009229753795156934,0.00022547945544459198,1.4156452425457136,1.5876550880764162
0.07002301150575288,0.8606450083605759,0,-1.448117841194721,2.0,4.545845597856511e-06,-2.1258769689169807,2.105057638069453,-0.009753094383451991,0.00025710070285688447,1.4118406432741366,1.5917588624080776
